Date,Zone,New_Confirmed
3/6/2020,Calgary,1
3/6/2020,Edmonton,0
3/7/2020,Calgary,1
3/7/2020,Edmonton,0
3/8/2020,Calgary,1
3/8/2020,Edmonton,2
3/9/2020,Calgary,1
3/9/2020,Edmonton,0
3/10/2020,Calgary,3
3/10/2020,Edmonton,3
3/11/2020,Calgary,4
3/11/2020,Edmonton,2
3/11/2020,Central,1
3/12/2020,Calgary,1
3/12/2020,Edmonton,0
3/13/2020,Calgary,10
3/13/2020,Edmonton,0
3/14/2020,Calgary,13
3/14/2020,Edmonton,6
3/15/2020,Calgary,10
3/15/2020,Edmonton,1
3/16/2020,Calgary,16
3/16/2020,Edmonton,5
3/16/2020,Central,1
3/16/2020,North,2
3/16/2020,South,1
3/17/2020,Calgary,6
3/17/2020,Edmonton,7
3/17/2020,Central,1
3/17/2020,North,2
3/18/2020,Calgary,22
3/18/2020,Edmonton,3
3/18/2020,South,2
3/18/2020,North,1
3/19/2020,Calgary,14
3/19/2020,Central,1
3/19/2020,Edmonton,8
3/19/2020,North,7
3/19/2020,South,1
3/20/2020,Calgary,23
3/20/2020,Central,2
3/20/2020,Edmonton,15
3/20/2020,North,3
3/20/2020,South,2
3/20/2020,Unknown,1
3/21/2020,Calgary,12
3/21/2020,Central,1
3/21/2020,Edmonton,5
3/21/2020,North,1
3/22/2020,Calgary,28
3/22/2020,Central,6
3/22/2020,Edmonton,5
3/22/2020,North,2
3/22/2020,South,1
3/23/2020,Calgary,31
3/23/2020,Central,11
3/23/2020,Edmonton,15
3/23/2020,North,1
3/23/2020,Unknown,2
3/24/2020,Calgary,36
3/24/2020,Central,9
3/24/2020,Edmonton,14
3/24/2020,North,2
3/24/2020,South,2
3/25/2020,Calgary,49
3/25/2020,Central,3
3/25/2020,Edmonton,18
3/25/2020,North,2
3/25/2020,South,2
