,Date,Zone,New_Confirmed,cumsum,inc33,dtime,dtime_rw
0,2020-03-06,Calgary,1,1,0,0.0,0
1,2020-03-06,Edmonton,0,0,0,0.0,0
2,2020-03-07,Calgary,1,2,2,0.0,0
3,2020-03-07,Edmonton,0,0,0,0.0,0
4,2020-03-08,Calgary,1,3,3,0.0,0
5,2020-03-08,Edmonton,2,2,0,0.0,0
6,2020-03-09,Calgary,1,4,4,0.5,0
7,2020-03-09,Edmonton,0,2,3,inf,0
8,2020-03-10,Calgary,3,7,6,0.7124143742160444,0
9,2020-03-10,Edmonton,3,5,3,1.51294159473206,0
10,2020-03-11,Calgary,4,11,10,0.8671944789536634,0
11,2020-03-11,Edmonton,2,7,7,1.6598842669953364,0
12,2020-03-11,Central,1,1,0,0.0,0
13,2020-03-12,Calgary,1,12,15,1.1157717826045193,0
14,2020-03-12,Edmonton,0,7,10,2.213179022660449,0
15,2020-03-13,Calgary,10,22,16,1.121219121087877,0
16,2020-03-13,Edmonton,0,7,10,2.766473778325561,0
17,2020-03-14,Calgary,13,35,30,1.1697541313627178,0
18,2020-03-14,Edmonton,6,13,10,2.2218603732173787,0
19,2020-03-15,Calgary,10,45,47,1.2746153032895677,0
20,2020-03-15,Edmonton,1,14,18,2.493450309756155,0
21,2020-03-16,Calgary,16,61,60,1.348904789516009,0
22,2020-03-16,Edmonton,5,19,19,2.463109157112337,0
23,2020-03-16,Central,1,2,2,8.0,0
24,2020-03-16,North,2,2,0,0.0,0
25,2020-03-16,South,1,1,0,0.0,0
26,2020-03-17,Calgary,6,67,82,1.4836577104994433,0
27,2020-03-17,Edmonton,7,26,26,2.4321433898458777,0
28,2020-03-17,Central,1,3,3,5.678367782143116,0
29,2020-03-17,North,2,4,3,9.0,0
30,2020-03-18,Calgary,22,89,90,1.5442266280111012,0
31,2020-03-18,Edmonton,3,29,35,2.5920293574876276,0
32,2020-03-18,South,2,3,2,6.309297535714574,0
33,2020-03-18,North,1,5,6,7.5647079736603,0
34,2020-03-19,Calgary,14,103,119,1.6451056805096675,0
35,2020-03-19,Central,1,4,4,5.5,0
36,2020-03-19,Edmonton,8,37,39,2.6131659017337636,0
37,2020-03-19,North,7,12,7,4.255380879579958,0
38,2020-03-19,South,1,4,4,5.5,0
39,2020-03-20,Calgary,23,126,137,1.719867933001118,0
40,2020-03-20,Central,2,6,6,4.642233686814499,0
41,2020-03-20,Edmonton,15,52,50,2.5529526426403577,0
42,2020-03-20,North,3,15,16,4.128122337362325,0
43,2020-03-20,South,2,6,6,4.642233686814499,0
44,2020-03-20,Unknown,1,1,0,0.0,0
45,2020-03-21,Calgary,12,138,168,1.8287902192703507,0
46,2020-03-21,Central,1,7,8,4.630693432404288,0
47,2020-03-21,Edmonton,5,57,70,2.689901893462966,0
48,2020-03-21,North,1,16,20,4.333333333333333,0
49,2020-03-22,Calgary,28,166,184,1.8982949352778087,0
50,2020-03-22,Central,6,13,10,3.7833341619824763,0
51,2020-03-22,Edmonton,5,62,76,2.825887212149398,0
52,2020-03-22,North,2,18,22,4.416508275000202,0
53,2020-03-22,South,1,7,8,4.98690061951231,0
54,2020-03-23,Calgary,31,197,221,1.9679740252762854,0
55,2020-03-23,Central,11,24,18,3.271564379782973,0
56,2020-03-23,Edmonton,15,77,83,2.84803644197452,0
57,2020-03-23,North,1,19,24,4.618329669585632,0
58,2020-03-23,Unknown,2,3,2,9.463946303571861,0
59,2020-03-24,Calgary,36,233,263,2.0345398373964074,0
60,2020-03-24,Central,9,33,32,3.1718378107289684,0
61,2020-03-24,Edmonton,14,91,103,2.9049739587645176,0
62,2020-03-24,North,2,21,26,4.716539759093023,0
63,2020-03-24,South,2,9,10,5.047438028571659,0
64,2020-03-25,Calgary,49,282,310,2.088567202784458,0
65,2020-03-25,Central,3,36,44,3.2882488614936034,0
66,2020-03-25,Edmonton,18,109,122,2.947201240948111,0
67,2020-03-25,North,2,23,28,4.824663284486016,0
68,2020-03-25,South,2,11,12,4.914102047404093,0
