,Calgary_cumulative,Central_cumulative,Edmont_cumulative,North_cumulative,South_cumulative,Unknown_cumulative
2020-03-06,1,0,0,0,0,0
2020-03-09,4,0,3,0,0,0
2020-03-10,10,0,6,0,0,0
2020-03-11,16,1,7,0,0,0
2020-03-12,18,1,7,1,0,0
2020-03-13,26,1,7,1,0,0
2020-03-14,39,1,13,1,0,0
2020-03-15,47,1,14,1,0,0
2020-03-16,64,2,19,3,1,0
2020-03-17,65,3,28,5,1,0
2020-03-18,90,3,32,5,3,0
2020-03-19,105,3,41,13,4,0
2020-03-20,131,4,53,16,6,0
2020-03-21,160,6,57,18,7,0
2020-03-22,188,10,61,20,8,0
2020-03-23,216,23,69,20,8,0
2020-03-24,256,30,89,22,10,0
2020-03-25,300,33,104,25,11,0
2020-03-26,344,34,109,27,11,0
2020-03-27,392,43,132,42,11,0
2020-03-28,421,44,148,49,11,0
2020-03-29,442,46,154,49,11,0
2020-03-30,465,47,175,51,11,0
2020-03-31,545,52,215,55,11,2
2020-04-01,611,55,252,60,13,2
2020-04-02,701,59,283,65,16,2
2020-04-03,751,60,301,68,18,2
2020-04-04,782,61,315,79,19,2
2020-04-05,805,65,340,83,21,2
2020-04-06,825,65,348,89,22,2
2020-04-07,835,66,358,90,22,2
